pathway	0g	125g	250g	500g
PWY4FS-7	0.0	116.14808738649252	115.14787686981394	17.83880992538307
PWY4FS-8	0.0	116.14808738649252	115.14787686981394	17.83880992538307
SER-GLYSYN-PWY	1920.1547822673358	14434.436968812139	2694.436797433172	1777.7695335746332
SO4ASSIM-PWY	1405.8454493417287	3164.3630981974065	1209.489217616641	833.207342281676
SUCSYN-PWY	0.0	1175.5786673443306	520.3050427285656	435.1291906226349
TCA	0.0	1434.039295110474	1358.998490854171	941.5999560406879
THRESYN-PWY	1461.1714168452736	11664.931262513792	2163.6981812468102	1427.7343722150822
TRNA-CHARGING-PWY	2082.774558945406	16045.526345776625	2998.8741895011044	1964.2001975553035
TYRFUMCAT-PWY	1531.3763500214081	10575.592548655412	1856.7722163936687	1180.1968193819064
VALSYN-PWY	1966.9367620523603	15682.763902808412	2827.789775738215	1939.8677257813852
